"id";"price";"rent";"area";"price_per_sq_m";"no_rooms";"building_type";"no_floor";"building_floors_num";"windows_type";"construction_status";"building_ownership";"lat";"long";"district";"built_year";"url";"rent_per_sq_m";"lift";"balcony";"garage";"basement";"separate_kitchen";"usable_room";"air_conditioning";"terrace";"garden";"two_storey";"is_primary";"date_scraped"
7908183463683303967;695000.0;750.0;38.0;18289.0;2;"Block";5;10;"Unknown";"Ready To Use";"Full Ownership";52.2315176;21.068489;"Praga-Poludnie";1972;"https://www.otodom.pl/pl/oferta/saska-kepa-38m2-2-pok-ID4yplG";19.736842105263158;1;1;0;1;0;0;0;0;0;0;0;"2026-01-01"
9019314414009698045;910000.0;700.0;55.15;16500.0;2;"Block";5;15;"Unknown";"Ready To Use";"Full Ownership";52.23145966902;21.077717225439;"Praga-Poludnie";2006;"https://www.otodom.pl/pl/oferta/m3-latwy-dojazd-do-centrum-12-min-loggia-widok-na-patio-oferta-0-0-0-ID4y1c7";12.692656391659112;1;1;0;0;1;0;0;0;0;0;0;"2026-01-01"
-4629841914236690820;665000.0;650.0;48.5;13711.0;2;"Block";3;4;"Plastic";"To Renovation";"Limited Ownership";52.237205869645;21.083781050262;"Praga-Poludnie";;"https://www.otodom.pl/pl/oferta/bezposrednio-zielono-dwustronne-2-3-pokoje-piwnica-blisko-m3-ID4xx7B";13.402061855670103;0;1;1;1;1;0;0;0;0;0;0;"2026-01-01"
-6974074095279185629;790000.0;;41.65;18968.0;2;"Apartment";1;5;"Plastic";"Ready To Use";"Full Ownership";52.22867074826;21.110844852642;"Praga-Poludnie";2022;"https://www.otodom.pl/pl/oferta/na-sprzedaz-2-pok-z-balkonem-i-pelnym-wyposazeniem-praga-poludnie-ID4xSUJ";;1;1;0;0;0;0;0;0;0;0;0;"2026-01-01"
-1488074000160202648;920000.0;1200.0;63.6;14465.0;2;"Block";6;9;"Plastic";"Ready To Use";"Limited Ownership";52.2262881;21.0896083;"Praga-Poludnie";1981;"https://www.otodom.pl/hpr/pl/oferta/gotowe-do-wprowadzenia-2-pokoje-na-goclawiu-ID4yl3d";18.867924528301888;1;1;0;1;1;0;0;0;0;0;0;"2026-01-01"
7179145473553149383;429000.0;674.0;23.5;18255.0;1;"Block";4;4;"Plastic";"Ready To Use";"Limited Ownership";52.2476427;21.0966106;"Praga-Poludnie";1964;"https://www.otodom.pl/pl/oferta/praga-poludnie-kawalerka-do-wprowadzenia-winda-ID4yW0S";28.680851063829788;1;0;0;1;0;0;0;0;0;0;0;"2026-01-01"
-1304075000574026334;840000.0;;69.6;12069.0;3;"Block";7;10;"Plastic";"Ready To Use";"Full Ownership";52.23423;21.10152;"Praga-Poludnie";1978;"https://www.otodom.pl/pl/oferta/praga-pld-goclawek-ul-ostrobramska-3-pok-69-6-m2-balkon-piwnica-ID4z1LQ";;1;1;0;1;1;0;0;0;0;0;0;"2026-01-01"
8834224918283499482;14400000.0;4000.0;347.0;41499.0;5;"Apartment";7;7;"Unknown";"Ready To Use";"Full Ownership";52.231026;21.0573125;"Praga-Poludnie";2006;"https://www.otodom.pl/pl/oferta/penthouse-w-sercu-saskiej-kepy-ID4zmka";11.527377521613833;1;1;1;0;0;0;1;1;0;0;0;"2026-01-01"
196940315301398715;635000.0;680.0;37.2;17070.0;2;"Block";1;3;"Unknown";"Ready To Use";"Full Ownership";52.2305189;21.0663621;"Praga-Poludnie";1962;"https://www.otodom.pl/pl/oferta/2-pokoje-z-oddzielna-kuchnia-praga-poludnie-ID4zhuR";18.279569892473116;0;0;1;1;1;0;0;0;0;0;0;"2026-01-01"
-7530874662510277932;1390000.0;970.0;63.44;21910.0;3;"Apartment";2;4;"Plastic";"Ready To Use";"Full Ownership";52.230045990806;21.067110423287;"Praga-Poludnie";2018;"https://www.otodom.pl/pl/oferta/sprzedam-3-pokojowe-mieszkanie-warszawa-aprtamentowiec-saska-kepa-ID4z6WC";15.290037831021438;1;1;1;0;1;0;1;0;0;0;0;"2026-01-01"
